,Origin,Destination,Total_flights
773,EIDW,OMDB,0.0
774,EIDW,LTFM,0.0
775,EIDW,ZBAA,0.0
776,EIDW,VIDP,1.0
777,EIDW,EFRO,0.0
778,EIDW,EHEH,-0.0
779,EIDW,EFHK,0.0
780,EIDW,LDZA,0.0
781,EIDW,EBBR,-0.0
782,EIDW,EIDW,0.0
783,EIDW,LGAV,0.0
784,EIDW,BIKF,0.0
785,EIDW,EETN,0.0
786,EIDW,LKPR,0.0
787,EIDW,FACT,0.0
788,EIDW,ESSA,0.0
789,EIDW,EGPH,-0.0
790,EIDW,LFQQ,-0.0
791,EIDW,LPPT,0.0
792,LGAV,LIRF,-0.0
793,LGAV,EDDT,0.0
794,LGAV,RJAA,1.0
795,LGAV,EDDM,0.0
796,LGAV,LFPG,0.0
797,LGAV,SAEZ,0.0
798,LGAV,CYYZ,0.0
799,LGAV,MMMX,0.0
800,LGAV,CYVR,0.0
801,LGAV,EDDF,0.0
802,LGAV,KJFK,1.0
803,LGAV,SBGL,0.0
804,LGAV,LEMD,0.0
805,LGAV,ZSPD,0.0
806,LGAV,OMDB,0.0
807,LGAV,LTFM,-0.0
808,LGAV,ZBAA,0.0
809,LGAV,VIDP,0.0
810,LGAV,EFRO,0.0
811,LGAV,EHEH,0.0
812,LGAV,EFHK,0.0
813,LGAV,LDZA,0.0
814,LGAV,EBBR,0.0
815,LGAV,EIDW,0.0
816,LGAV,LGAV,0.0
817,LGAV,BIKF,0.0
818,LGAV,EETN,0.0
819,LGAV,LKPR,0.0
820,LGAV,FACT,0.0
821,LGAV,ESSA,0.0
822,LGAV,EGPH,0.0
823,LGAV,LFQQ,0.0
824,LGAV,LPPT,0.0
825,BIKF,LIRF,0.0
826,BIKF,EDDT,0.0
827,BIKF,RJAA,0.0
828,BIKF,EDDM,0.0
829,BIKF,LFPG,0.0
830,BIKF,SAEZ,0.0
831,BIKF,CYYZ,0.0
832,BIKF,MMMX,0.0
833,BIKF,CYVR,0.0
834,BIKF,EDDF,0.0
835,BIKF,KJFK,0.0
836,BIKF,SBGL,0.0
837,BIKF,LEMD,0.0
838,BIKF,ZSPD,0.0
839,BIKF,OMDB,0.0
840,BIKF,LTFM,0.0
841,BIKF,ZBAA,0.0
842,BIKF,VIDP,0.0
843,BIKF,EFRO,0.0
844,BIKF,EHEH,0.0
845,BIKF,EFHK,0.0
846,BIKF,LDZA,0.0
847,BIKF,EBBR,0.0
